Neighborhood,N,Cafes,Restaurants,Bars,Nightclubs
Pomonok-Flushing Heights-Hillcrest,1,994.3346825,677.7756488,962.3432057,994.3346825
Port Richmond,1,1000,892.0125782,1000,1000
Prospect Heights,1,128.5858935,135.4949996,184.7478352,128.5858935
Prospect Lefferts Gardens-Wingate,1,815.0139998,443.7301711,836.4515242,815.0139998
Queens Village,1,798.2122837,550.0970535,1000,798.2122837
Queensboro Hill,1,985.6905371,602.9443069,1000,985.6905371
Queensbridge-Ravenswood-Long Island City,1,381.302616,313.022162,662.0071286,381.302616
Rego Park,1,583.0134505,410.8063251,979.8572413,583.0134505
Richmond Hill,1,808.200066,669.5094119,987.5332232,808.200066
Ridgewood,1,450.1063274,326.138823,496.6137855,450.1063274
Rikers Island,1,1000,1000,1000,1000
Rosedale,1,843.0654171,540.8296809,1000,843.0654171
Rossville-Woodrow,1,836.2216137,724.1415595,1000,836.2216137
Rugby-Remsen Village,1,883.9128984,924.1911178,1000,883.9128984
Schuylerville-Throgs Neck-Edgewater Park,1,978.0460349,915.7063531,980.8499279,978.0460349
Seagate-Coney Island,1,982.475393,683.3174534,832.1727591,982.475393
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1,821.3665072,639.1598814,840.7428538,821.3665072
SoHo-TriBeCa-Civic Center-Little Italy,1,153.0005097,129.1304262,203.6001276,153.0005097
Soundview-Bruckner,1,742.9315909,311.036814,872.9548042,742.9315909
Soundview-Castle Hill-Clason Point-Harding Park,1,964.4361294,889.5169605,996.3423069,964.4361294
South Jamaica,1,994.7786034,504.4524412,999.6269012,994.7786034
South Ozone Park,1,1000,708.7802702,1000,1000
Springfield Gardens North,1,1000,453.4804679,998.3943292,1000
Springfield Gardens South-Brookville,1,1000,706.0402036,1000,1000
Spuyten Duyvil-Kingsbridge,1,696.6888948,732.9897729,802.9276239,696.6888948
St. Albans,1,1000,675.657016,861.9724761,1000
Stapleton-Rosebank,1,665.8994285,596.9409322,673.0158442,665.8994285
Starrett City,1,1000,1000,1000,1000
Steinway,1,622.6193283,485.7432009,645.6921013,622.6193283
Stuyvesant Heights,1,311.9943755,297.2223381,497.8348601,311.9943755
Stuyvesant Town-Cooper Village,1,358.8897398,284.1861098,437.2702005,358.8897398
Sunset Park East,1,324.2411054,276.6558853,797.5086158,324.2411054
Sunset Park West,1,611.3611858,598.8444528,660.4260923,611.3611858
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1,860.5763778,791.5181723,1000,860.5763778
Turtle Bay-East Midtown,1,152.1673302,154.248668,264.4945655,152.1673302
University Heights-Morris Heights,1,1000,646.3175646,998.0903804,1000
Upper East Side-Carnegie Hill,1,152.0685317,129.5860722,413.1626763,152.0685317
Upper West Side,1,300.859883,252.5097137,452.682939,300.859883
Van Cortlandt Village,1,959.0797788,769.1394551,893.5044723,959.0797788
Van Nest-Morris Park-Westchester Square,1,816.5312575,789.015103,928.9891362,816.5312575
Washington Heights North,1,697.3359542,286.825334,566.8168198,697.3359542
Washington Heights South,1,457.0155377,376.3509041,911.2930085,457.0155377
West Brighton,1,916.2776792,550.5711906,925.2502285,916.2776792
West Concourse,1,965.3460485,500.5119779,1000,965.3460485
West Farms-Bronx River,1,765.6390668,464.7841513,884.2318587,765.6390668
West New Brighton-New Brighton-St. George,1,651.9291195,612.7289687,738.3190806,651.9291195
West Village,1,137.1519174,96.77860925,137.4188821,137.1519174
Westchester-Unionport,1,555.6526776,389.6092734,1000,555.6526776
Westerleigh,1,1000,664.8102859,1000,1000
Whitestone,1,836.6573854,672.2841779,868.2072424,836.6573854
Williamsbridge-Olinville,1,1000,706.42894,878.5655628,1000
Williamsburg,1,559.1234677,550.6026313,596.8752441,559.1234677
Windsor Terrace,1,326.3836061,257.7154415,622.777338,326.3836061
Woodhaven,1,874.1062801,636.5493245,877.7216125,874.1062801
Woodlawn-Wakefield,1,848.0728761,695.9925914,867.4270295,848.0728761
Woodside,1,533.2966304,282.3418185,571.5758001,533.2966304
Yorkville,1,293.2122432,157.6541389,368.7847999,293.2122432
park-cemetery-etc-Bronx,1,972.5871029,851.8115962,964.0065124,972.5871029
park-cemetery-etc-Brooklyn,1,774.5450155,716.4172716,796.1463571,774.5450155
park-cemetery-etc-Manhattan,1,550.6506277,544.3260792,702.6214977,550.6506277
park-cemetery-etc-Queens,1,962.0877158,908.43811,955.4400778,962.0877158
park-cemetery-etc-Staten Island,1,1000,1000,1000,1000
Airport,2,899.0863323,862.8323875,928.9477726,899.0863323
Allerton-Pelham Gardens,2,1000,929.1461859,1000,1000
Annadale-Huguenot-Prince's Bay-Eltingville,2,1000,760.1371033,1000,1000
Arden Heights,2,1000,986.8912089,1000,1000
Astoria,2,484.2808291,257.4007982,408.6090435,484.2808291
Auburndale,2,961.1668681,819.3283982,1000,961.1668681
Baisley Park,2,1000,822.7990628,1000,1000
Bath Beach,2,939.8671369,905.1939607,1000,939.8671369
Battery Park City-Lower Manhattan,2,317.2731137,301.4765494,461.6787188,317.2731137
Bay Ridge,2,944.1678479,652.917036,917.9294733,944.1678479
Bayside-Bayside Hills,2,841.5448421,561.5252578,1000,841.5448421
Bedford,2,508.4067494,430.9005003,638.4035282,508.4067494
Bedford Park-Fordham North,2,1000,669.5199097,996.7684375,1000
Bellerose,2,1000,870.7950197,1000,1000
Belmont,2,1000,579.4901309,678.427684,1000
Bensonhurst East,2,843.1230683,625.9901538,1000,843.1230683
Bensonhurst West,2,735.7210542,604.2441457,1000,735.7210542
Borough Park,2,787.7972589,707.9074331,990.2375971,787.7972589
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2,1000,906.4331322,998.8662431,1000
Briarwood-Jamaica Hills,2,956.7721498,588.8664312,959.7669001,956.7721498
Brighton Beach,2,609.1338403,541.4501649,1000,609.1338403
Bronxdale,2,1000,481.1428928,1000,1000
Brooklyn Heights-Cobble Hill,2,336.7274099,297.0041432,388.7639163,336.7274099
Brownsville,2,980.8979252,999.9782569,1000,980.8979252
Bushwick North,2,319.4023592,152.0583752,314.1303298,319.4023592
Bushwick South,2,374.8713045,379.2140609,455.6998354,374.8713045
Cambria Heights,2,1000,1000,1000,1000
Canarsie,2,1000,1000,1000,1000
Carroll Gardens-Columbia Street-Red Hook,2,530.3051726,406.8958855,520.9907752,530.3051726
Central Harlem North-Polo Grounds,2,696.2967598,516.5664363,991.4158683,696.2967598
Central Harlem South,2,532.736704,281.8903482,828.6480425,532.736704
Charleston-Richmond Valley-Tottenville,2,1000,995.0889452,1000,1000
Chinatown,2,201.8327657,128.2780448,256.8507073,201.8327657
Claremont-Bathgate,2,1000,868.2506955,928.4237156,1000
Clinton,2,402.044739,272.1774567,374.9570218,402.044739
Clinton Hill,2,432.3652244,341.4777059,485.0577239,432.3652244
Co-op City,2,1000,950.6097737,1000,1000
College Point,2,998.7801611,904.8140176,1000,998.7801611
Corona,2,987.893166,681.9367266,1000,987.893166
Crotona Park East,2,1000,893.6972413,1000,1000
Crown Heights North,2,699.0781661,515.2045225,728.2217851,699.0781661
Crown Heights South,2,624.7649679,571.1578497,699.0509457,624.7649679
Cypress Hills-City Line,2,999.9637641,661.0666387,999.8439962,999.9637641
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2,327.392279,243.7460584,432.0766953,327.392279
Douglas Manor-Douglaston-Little Neck,2,1000,999.9675286,1000,1000
Dyker Heights,2,940.7286961,842.0592259,999.3959787,940.7286961
East Concourse-Concourse Village,2,1000,836.6777988,1000,1000
East Elmhurst,2,1000,626.9232578,999.2925508,1000
East Flatbush-Farragut,2,1000,912.042373,1000,1000
East Flushing,2,999.9729883,701.314983,1000,999.9729883
East Harlem North,2,647.508698,346.8396951,958.1176572,647.508698
East Harlem South,2,470.0956872,247.40413,640.5578514,470.0956872
East New York,2,1000,746.7281776,1000,1000
East New York (Pennsylvania Ave),2,1000,991.5004484,1000,1000
East Tremont,2,1000,872.1037077,966.7988329,1000
East Village,2,144.8788659,73.63561164,103.5937905,144.8788659
East Williamsburg,2,627.3940162,465.7467647,501.8590016,627.3940162
Eastchester-Edenwald-Baychester,2,1000,876.7640392,1000,1000
Elmhurst,2,686.6548293,453.7269517,811.4051021,686.6548293
Elmhurst-Maspeth,2,847.8349228,521.8351665,845.3092653,847.8349228
Erasmus,2,993.8657147,598.8432425,1000,993.8657147
Far Rockaway-Bayswater,2,1000,858.1677629,1000,1000
Flatbush,2,821.0416697,690.8018258,916.0305747,821.0416697
Flatlands,2,1000,891.8530772,1000,1000
Flushing,2,712.9969517,381.9532156,896.6340084,712.9969517
Fordham South,2,1000,917.7580534,972.5206494,1000
Forest Hills,2,905.5220439,504.5575721,1000,905.5220439
Fort Greene,2,477.5279384,259.0606028,490.0087857,477.5279384
Fresh Meadows-Utopia,2,903.9293202,594.017587,1000,903.9293202
Ft. Totten-Bay Terrace-Clearview,2,1000,988.2413207,1000,1000
Georgetown-Marine Park-Bergen Beach-Mill Basin,2,1000,914.1984978,1000,1000
Glen Oaks-Floral Park-New Hyde Park,2,1000,840.7668681,1000,1000
Glendale,2,799.6070294,482.1593748,854.3137521,799.6070294
Gramercy,2,179.7731387,128.7287106,267.5572086,179.7731387
Grasmere-Arrochar-Ft. Wadsworth,2,1000,940.7224459,1000,1000
Gravesend,2,977.6889818,762.7127719,1000,977.6889818
Great Kills,2,1000,745.1272056,1000,1000
Greenpoint,2,420.1990889,350.984881,445.1406887,420.1990889
Grymes Hill-Clifton-Fox Hills,2,999.9076085,940.645486,1000,999.9076085
Hamilton Heights,2,512.9458309,405.6297745,993.5715093,512.9458309
Hammels-Arverne-Edgemere,2,1000,866.301641,1000,1000
Highbridge,2,1000,884.7050274,1000,1000
Hollis,2,1000,829.8911838,999.8224161,1000
Homecrest,2,938.0431602,656.5914076,1000,938.0431602
Hudson Yards-Chelsea-Flatiron-Union Square,2,297.2811348,220.6054333,386.3109164,297.2811348
Hunters Point-Sunnyside-West Maspeth,2,612.7734008,500.8078484,697.4167461,612.7734008
Hunts Point,2,1000,999.1020254,1000,1000
Jackson Heights,2,869.7732807,532.0703905,908.778564,869.7732807
Jamaica,2,867.8685187,563.5232728,839.5960734,867.8685187
Jamaica Estates-Holliswood,2,1000,559.4572607,815.7612264,1000
Kensington-Ocean Parkway,2,630.8892728,353.190138,587.287715,630.8892728
Kew Gardens,2,727.3202864,562.5243093,1000,727.3202864
Kew Gardens Hills,2,1000,631.808491,1000,1000
Kingsbridge Heights,2,1000,881.0925623,1000,1000
Laurelton,2,1000,654.2272239,1000,1000
Lenox Hill-Roosevelt Island,2,436.2423154,368.7403697,630.1733842,436.2423154
Lincoln Square,2,350.1797784,347.2490848,511.7365754,350.1797784
Lindenwood-Howard Beach,2,1000,889.8580101,1000,1000
Longwood,2,1000,978.9035768,1000,1000
Lower East Side,2,587.7325719,402.4193793,572.4741017,587.7325719
Madison,2,897.7551691,678.9811917,1000,897.7551691
Manhattanville,2,661.837502,348.7987539,780.0314839,661.837502
Marble Hill-Inwood,2,720.2417263,516.8399536,728.8208735,720.2417263
Mariner's Harbor-Arlington-Port Ivory-Graniteville,2,1000,987.538741,1000,1000
Maspeth,2,931.4067862,650.623242,934.0245438,931.4067862
Melrose South-Mott Haven North,2,1000,771.0912188,1000,1000
Middle Village,2,943.0359603,801.6404376,971.4514138,943.0359603
Midtown-Midtown South,2,159.047095,121.4240138,329.6370698,159.047095
Midwood,2,991.1386049,846.4407387,1000,991.1386049
Morningside Heights,2,378.0132175,291.9383953,768.5261033,378.0132175
Morrisania-Melrose,2,1000,762.3047607,1000,1000
Mott Haven-Port Morris,2,1000,759.3312376,912.8596305,1000
Mount Hope,2,1000,836.7354109,1000,1000
Murray Hill,2,993.3698561,649.4352392,999.5736773,993.3698561
Murray Hill-Kips Bay,2,334.5255278,294.4348055,542.6819358,334.5255278
New Brighton-Silver Lake,2,999.803886,994.3941927,999.9604047,999.803886
New Dorp-Midland Beach,2,1000,765.7593953,1000,1000
New Springville-Bloomfield-Travis,2,1000,927.7018015,1000,1000
North Corona,2,1000,338.6183235,999.337949,1000
North Riverdale-Fieldston-Riverdale,2,967.7117186,836.0485933,1000,967.7117186
North Side-South Side,2,350.3634511,185.457154,273.1488307,350.3634511
Norwood,2,1000,985.5666831,1000,1000
Oakland Gardens,2,996.5856444,988.3373498,1000,996.5856444
Oakwood-Oakwood Beach,2,1000,993.5058891,1000,1000
Ocean Hill,2,860.390589,863.1146712,969.811105,860.390589
Ocean Parkway South,2,999.8945756,949.3544129,1000,999.8945756
Old Astoria,2,522.1351791,430.9670614,567.5917268,522.1351791
Old Town-Dongan Hills-South Beach,2,1000,988.5174746,1000,1000
Ozone Park,2,1000,626.5667323,1000,1000
Park Slope-Gowanus,2,309.6929233,265.6121436,413.3799975,309.6929233
Parkchester,2,711.9933844,643.0174765,1000,711.9933844
Pelham Bay-Country Club-City Island,2,898.0418153,705.0260519,877.9115976,898.0418153
Pelham Parkway,2,1000,819.7536675,1000,1000
Pomonok-Flushing Heights-Hillcrest,2,999.9852458,754.00529,1000,999.9852458
Port Richmond,2,1000,989.2390068,1000,1000
Prospect Heights,2,240.0816657,176.4862716,242.268723,240.0816657
Prospect Lefferts Gardens-Wingate,2,918.6034954,711.6826187,873.75094,918.6034954
Queens Village,2,994.9912924,687.6603363,1000,994.9912924
Queensboro Hill,2,1000,643.746644,1000,1000
Queensbridge-Ravenswood-Long Island City,2,666.2034421,460.465661,746.0782484,666.2034421
Rego Park,2,702.7807354,501.5149699,1000,702.7807354
Richmond Hill,2,980.9741021,839.285161,1000,980.9741021
Ridgewood,2,553.8467916,390.768468,585.943389,553.8467916
Rikers Island,2,1000,1000,1000,1000
Rosedale,2,1000,591.5409304,1000,1000
Rossville-Woodrow,2,1000,808.8484061,1000,1000
Rugby-Remsen Village,2,999.9243311,999.79382,1000,999.9243311
Schuylerville-Throgs Neck-Edgewater Park,2,999.6185239,971.3029272,1000,999.6185239
Seagate-Coney Island,2,985.248315,795.0618909,1000,985.248315
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2,978.2110737,681.8480999,953.2714743,978.2110737
SoHo-TriBeCa-Civic Center-Little Italy,2,247.3377021,180.9549793,319.2451361,247.3377021
Soundview-Bruckner,2,884.365829,421.300909,1000,884.365829
Soundview-Castle Hill-Clason Point-Harding Park,2,998.4255363,982.6707896,1000,998.4255363
South Jamaica,2,1000,831.9310161,1000,1000
South Ozone Park,2,1000,864.92936,1000,1000
Springfield Gardens North,2,1000,634.6895132,1000,1000
Springfield Gardens South-Brookville,2,1000,957.6717615,1000,1000
Spuyten Duyvil-Kingsbridge,2,909.2358825,853.834477,1000,909.2358825
St. Albans,2,1000,875.2179416,1000,1000
Stapleton-Rosebank,2,948.2668563,660.7772246,940.611628,948.2668563
Starrett City,2,1000,1000,1000,1000
Steinway,2,701.1533998,621.9207877,692.275434,701.1533998
Stuyvesant Heights,2,416.1415408,377.9653093,582.3200242,416.1415408
Stuyvesant Town-Cooper Village,2,371.205011,414.1838565,479.0525327,371.205011
Sunset Park East,2,541.8948232,399.4258007,994.977783,541.8948232
Sunset Park West,2,742.7764785,662.9144689,800.2315705,742.7764785
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2,987.5494376,848.7759364,1000,987.5494376
Turtle Bay-East Midtown,2,255.5449633,211.9286948,372.4127877,255.5449633
University Heights-Morris Heights,2,1000,895.4949467,1000,1000
Upper East Side-Carnegie Hill,2,237.0063004,191.1544021,598.9131075,237.0063004
Upper West Side,2,377.8340245,295.4669751,709.9481004,377.8340245
Van Cortlandt Village,2,1000,916.6391566,1000,1000
Van Nest-Morris Park-Westchester Square,2,999.8088699,890.0498332,1000,999.8088699
Washington Heights North,2,997.7875943,474.7135813,753.6649746,997.7875943
Washington Heights South,2,512.2666911,438.182829,988.8905901,512.2666911
West Brighton,2,916.2776792,724.4738218,1000,916.2776792
West Concourse,2,1000,662.9717395,1000,1000
West Farms-Bronx River,2,855.9921907,550.7374483,1000,855.9921907
West New Brighton-New Brighton-St. George,2,883.2745645,746.4197777,910.4386486,883.2745645
West Village,2,189.7802411,127.9820834,206.995975,189.7802411
Westchester-Unionport,2,868.0491418,544.1143931,1000,868.0491418
Westerleigh,2,1000,941.4289904,1000,1000
Whitestone,2,987.811622,835.5366961,1000,987.811622
Williamsbridge-Olinville,2,1000,934.4390451,997.0860841,1000
Williamsburg,2,763.8599774,629.9862129,731.7401559,763.8599774
Windsor Terrace,2,503.6115771,314.8235998,828.2792387,503.6115771
Woodhaven,2,1000,675.200646,1000,1000
Woodlawn-Wakefield,2,1000,871.8441141,887.0907621,1000
Woodside,2,771.7161754,384.9467084,674.9671366,771.7161754
Yorkville,2,385.4577859,230.8579064,457.5088041,385.4577859
park-cemetery-etc-Bronx,2,1000,933.2621792,991.0144816,1000
park-cemetery-etc-Brooklyn,2,877.0990111,762.4664727,877.0004196,877.0990111
park-cemetery-etc-Manhattan,2,654.5911026,620.5726928,804.6941695,654.5911026
park-cemetery-etc-Queens,2,984.4334966,935.7748702,981.1123569,984.4334966
park-cemetery-etc-Staten Island,2,1000,1000,1000,1000
Airport,3,949.4912493,896.2848311,986.5677877,949.4912493
Allerton-Pelham Gardens,3,1000,929.1461859,1000,1000
Annadale-Huguenot-Prince's Bay-Eltingville,3,1000,826.0875664,1000,1000
Arden Heights,3,1000,998.7288067,1000,1000
Astoria,3,558.2450731,316.6275475,469.2623382,558.2450731
Auburndale,3,1000,895.7185124,1000,1000
Baisley Park,3,1000,964.8639053,1000,1000
Bath Beach,3,972.332789,953.9959973,1000,972.332789
Battery Park City-Lower Manhattan,3,349.8501409,317.9498335,520.4318112,349.8501409
Bay Ridge,3,998.0336536,701.0832954,977.6663668,998.0336536
Bayside-Bayside Hills,3,894.5611613,655.0156818,1000,894.5611613
Bedford,3,622.5696182,546.9933485,750.0943565,622.5696182
Bedford Park-Fordham North,3,1000,967.324599,1000,1000
Bellerose,3,1000,906.6130955,1000,1000
Belmont,3,1000,585.7275714,1000,1000
Bensonhurst East,3,891.2966126,787.7744238,1000,891.2966126
Bensonhurst West,3,875.1068756,695.5106712,1000,875.1068756
Borough Park,3,933.1978443,783.273855,999.6563537,933.1978443
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,3,1000,940.7091613,1000,1000
Briarwood-Jamaica Hills,3,999.6705429,720.7493677,991.4998954,999.6705429
Brighton Beach,3,662.3235998,679.9566898,1000,662.3235998
Bronxdale,3,1000,491.7899082,1000,1000
Brooklyn Heights-Cobble Hill,3,407.1309319,331.658051,581.517687,407.1309319
Brownsville,3,1000,1000,1000,1000
